,AERIAL,BALL RECOVERY,CLEARANCE,DISPOSSESSED,GOAL,INTERCEPTION,KEEPER PICKUP,MISSED SHOT,NO EVENT,PASS,SAVE,SAVED SHOT,TACKLE
AERIAL,135,30,8,7,16,11,0,47,95,131,10,18,24
BALL RECOVERY,34,20,1,9,9,11,0,14,53,111,1,9,26
CLEARANCE,3,2,0,0,0,1,0,5,31,7,2,3,3
DISPOSSESSED,14,10,2,6,4,11,0,10,35,52,3,3,12
GOAL,0,2,0,1,2,0,0,3,17,0,3,1,1
INTERCEPTION,25,16,0,7,2,6,0,4,57,40,1,3,10
KEEPER PICKUP,2,0,0,0,0,0,0,0,4,2,0,0,0
MISSED SHOT,9,3,2,1,7,2,0,5,15,3,6,0,3
NO EVENT,312,176,49,43,53,85,0,67,1821,820,53,51,232
PASS,536,402,44,123,71,129,1,275,1059,3323,59,92,487
SAVE,2,4,2,1,2,3,0,4,14,10,5,1,3
SAVED SHOT,6,6,2,0,5,0,0,7,17,11,4,3,1
TACKLE,27,26,8,21,10,18,0,24,107,180,7,9,30
